Turn;Who;Utterance
1;Craig Stuart;who wants to scribe it up?
2;laneb;shotty not it
3;laneb;heh
4;Ryan Nordman;I'll do it
5;Craig Stuart;thanks ryan
6;Odysseus;So you know Ryan, everytime you enter something into the decisions place, you need to hit the refresh. Last time i had to anyhow
7;Odysseus;so everyone can see what you put
8;Ryan Nordman;Oh, ok, thx
9;Ryan Nordman;Do you want to enable hand raising, Craig?
10;beckd;hello?>
11;Craig Stuart;I think we should be ok without the hand raising 
12;Christopher Hanlon;Hi Beckd, could you tell us your full name.
13;Craig Stuart;we can play it by ear though
14;Craig Stuart;is that everyone?
15;Odysseus;our group is all here 
16;beckd;Daniel Beck
17;mcmahonp;yep
18;beckd;your loyal coworker
19;laneb;say I if you're not here
20;mcmahonp;Everyone is here
21;Ryan Nordman;Ok, let's begin
22;Craig Stuart;alright folks, let go
23;sheny;i have some difficulty here...i am just goin off and log in again..so craig can u invite me again when i am bac?thks..
24;Christopher Hanlon ;Developer speeking: We're plan on focussing on the kiosk in RS 3.0 does that sound reasonable to you guys?
25;Price, Tyler;i'd say so
26;Odysseus;sounds fine
27;zhangc;yse
28;Kia Dastmalchian;sounds good
29;Tyler Gates;since the prototype was based on that, I would say it's good
30;laneb;I'd say that sounds right.
31;Michael;Yes
32;Ryan Nordman;I think it's possible we might change our minds though...
33;Michael;I like the spelling of speeking.
34;Price, Tyler;really how?
35;Ryan Nordman;I'm just not sure how much more we can develop the requirements and prototypes for the kiosk, considering how much we've already delved into that
36;Ryan Nordman;We'll need to have some further discussions.
37;Michael;Understandable.
38;Price, Tyler;hmm... so what else would you be doing?
39;Tyler Gates;about rs 3.0?
40;mcmahonp;"Well, I think we are just supposed to make sure 3.0 is ""perfect"", rather then add more content."
41;Ryan Nordman;One possibility might be the on-board bus system for the driver
42;zhangc;well,yes, Michael
43;beckd;I think that was is a bit challenging
44;Ryan Nordman;Yeah, that's a good point Paul
45;beckd;I think that a trip planning feature, going into the different ways it would be accessed through things such as kiosk, web based and pda might be a bit more feasible
46;Craig Stuart;that could also be a bit tough
47;Ryan Nordman;ok,
48;Ryan Nordman; anyway, for now we'll say we're going to focus on the Kiosk.  We'll let you know if we change our minds.
49;mcmahonp;yes
50;Craig Stuart;it's selected on mine.........
51;Michael;Okay, all are items we  would like to see.
52;Kia Dastmalchian;...well whatever component you guys have the most understanding of would probably be best, and its totally up to you
53;Tyler Gates;we still don't have the eval criteria for rs 3.0. don't worry about that today
54;Ryan Nordman;Alright, let's move on
55;laneb;the thing is, if you decide now, you'll get more out of this meeting.
56;laneb;and waste less time in emails later on
57;Craig Stuart;we just want to get a bit of feedback from you guys about the scheduling feature
58;Craig Stuart;and how it would be used by potential riders
59;Price, Tyler;You mean the trip planning? Or just the sked printouts?
60;Ryan Nordman;Just the schedule, not trip planning
61;beckd;one thing that we were thinking was something similar to the current victoria bus schedule that's online
62;beckd;a bus schedule feature would allow users to view the routes of all busses at any time of any day of the week
63;Michael;To view what time a bus will arrive at a paticular stop. Either today or in the future. It should have all other stops on that route listed as well to see at a glance when it may arrive... etc. Similar to Victoria's.
64;beckd;more of an informational thing
65;Craig Stuart;right
66;Price, Tyler;Okay, well the victoria one is fine
67;Price, Tyler; but you sort of need to know what bus you are taking - need search feature
68;Craig Stuart;you mean just searching by bus route number, or by some other parameter?
69;Price, Tyler;so like search by postal code or region of town
70;Price, Tyler;esqimalt, sooke, etc.
71;Price, Tyler;just so you know what busses pass by
72;Tyler Gates;maybe a map
73;Michael;But also route number as if they are avid travellers they will know what bus.
74;beckd;and this would filter all busses that service any of these areas
75;laneb;bus route numbers only mean something to someone who takes those busses all the time
76;Price, Tyler;searching by route name/number may be helpful as well
77;Ryan Nordman;Ok
78;Ryan Nordman;So we'll add search functionality to the schedule lookup interface
79;mcmahonp;well, wouldn't someone only want to view a schedule if they regularly took the bus?  otherwise wouldn't they use trip  planning?
80;Michael;In theory, or if they would like to know how often a given bus comes.
81;Price, Tyler;(the translink schedule is a bit better, you can choose which stops you want t he times of)
82;beckd;I think that paul's point is valid, but I know that even in victoria, there are some buses of which i dont' know the exact routes, it would be beneficial for them I think to be able to find out if other busses can go to points
83;Christopher Hanlon;Testing 123...
84;Bryan Lane;did everyone get booted there or just me?
85;Price, Tyler;not me
86;Odysseus;i didn't get booted
87;beckd;I'm good
88;Craig Stuart;where did Chris go
